Date and Time of initial call,Date and time of Ranger response,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
05/19/2020 11:40:00 AM,05/19/2020 11:40:00 AM,Pelham Bay Park,"Boardwalk at Orchard Beach, Zone 8",Raccoon,Central,Native,N/A,0.5,Adult,Small Mammals-RVS,3-11-02515463,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
05/18/2020 02:50:00 PM,05/18/2020 03:20:00 PM,Colgate Close,"Ball Field (40.8246546, -73.8819318)",Raccoon,Public,Native,Injured,1.5,Juvenile,Small Mammals-RVS,311-02509284,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,94355
05/17/2020 12:30:00 PM,05/17/2020 01:30:00 PM,Pelham Bay Park,Orchard Beach Hunter Island Access Road,Raccoon,Public,Native,Injured,2,Infant,Small Mammals-RVS,311-02499145,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,Receipt #126032
05/12/2020 08:30:00 AM,05/12/2020 08:20:00 AM,Van Cortlandt Park,Outside nature center,American Robin,Central,Native,Healthy,1,Infant,Birds,311-02447966,Relocated/Condition Corrected,1,FALSE,TRUE,NA,1,FALSE,FALSE,NA
05/06/2020 03:40:00 PM,05/06/2020 03:46:00 PM,P.O. Serrano Playground,P.O. Serrano Playground,Herring Gull,Central,Native,N/A,0.5,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
05/03/2020 01:30:00 PM,05/04/2020 01:30:00 PM,Van Cortlandt Park,Putnam Trail adjacent to Golf Course fence opposite John Kieran Trail,Common Snapping Turtle,Public,Native,Healthy,0.5,Adult,Terrestrial Reptile or Amphibian,NA,Monitored Animal,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
04/12/2020 11:15:00 AM,04/12/2020 11:20:00 AM,St. Mary's Park,in the park near the NYCHA Moore Houses,Dog,Public,Domestic,Healthy,1,Adult,Domestic,3-11-02216421,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,92365
04/08/2020 02:10:00 PM,04/08/2020 02:20:00 PM,Seton Park,Near the basketball courts and the woods,Eastern Coyote,Employee,Native,N/A,0.5,Juvenile,Coyotes,311-01292484,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
04/07/2020 02:04:00 PM,04/07/2020 03:30:00 PM,St. Mary's Park,"near the athletic track, by east 147th Street",Raccoon,Public,Native,Healthy,1.5,Infant,Small Mammals-RVS,NA,Rehabilitator,3,TRUE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
04/05/2020 04:15:00 PM,04/05/2020 04:15:00 PM,Pelham Bay Park,Pelham Bay Nature Center,Red-winged Blackbird,Employee,Native,Injured,1.5,Adult,Birds,NA,Rehabilitator,1,TRUE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
