Date and Time of initial call,Date and time of Ranger response,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
08/14/2020 01:00:00 PM,08/14/2020 03:30:00 PM,Jackie Robinson Recreation Center,West 152nd St and Bradhurst Avenue,Chicken,Public,Domestic,Healthy,1,Adult,Birds,311-03603156,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,100630
08/14/2020 09:00:00 AM,08/14/2020 10:00:00 AM,Central Park,"40.778329, -73.967018 79th Street Transverse, under East Drive",Raccoon,Public,Native,DOA,1,Adult,Small Mammals-RVS,311-03599861,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,100562
08/13/2020 11:36:00 AM,08/13/2020 11:36:00 AM,West Harlem Piers,W 131 street,Mallard Duck,Employee,Native,Healthy,1,Adult,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
08/13/2020 10:45:00 AM,08/13/2020 10:50:00 AM,St. Nicholas Park,W 129th & St Nick Terrace,American Robin,Employee,Native,Healthy,1.5,Infant,Birds,311-03593350,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
08/12/2020 10:00:00 AM,08/12/2020 10:30:00 AM,Inwood Hill Park,Clove Road Path,Raccoon,Public,Native,Unhealthy,4,Juvenile,Small Mammals-RVS,311-03580028,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,100400
08/10/2020 04:00:00 PM,08/10/2020 04:00:00 PM,Central Park,"6th Ave and Center Drive; 40.766988, -73.976859",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,311-0355 7907,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,100308
08/08/2020 03:38:00 PM,08/08/2020 04:00:00 PM,Central Park,59th Street Pond,Domestic Duck,Public,Domestic,Healthy,4,Juvenile,Birds,311-03526953,Rehabilitator,2,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
08/06/2020 06:15:00 PM,08/06/2020 06:15:00 PM,Fort Tryon Park,Path West of Cloisters Lawn near wall,Blue Jay,Central,Native,N/A,0.4,Juvenile,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
08/02/2020 11:00:00 AM,08/02/2020 11:20:00 AM,Central Park,"Dana Discovery Center Women's Comfort station 40.797192, -73.951430",Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,0.5,Juvenile,Small Mammals-RVS,n/a,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/31/2020 11:55:00 AM,07/31/2020 12:00:00 PM,Central Park,"west of the Met, in a tree hanging over the Drive",American Robin,Public,Native,Healthy,1.25,Adult,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/29/2020 09:10:00 AM,07/29/2020 09:20:00 AM,Theodore Roosevelt Park,"81st street, dog run, trash can",Virginia Opossum,Employee,Native,Healthy,0.5,Juvenile,Small Mammals-non RVS,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/27/2020 04:00:00 PM,07/27/2020 04:00:00 PM,Chelsea Park,playground on W27th,Herring Gull,Employee,Native,Unhealthy,3,Juvenile,Birds,311-03356361,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
07/27/2020 02:30:00 PM,07/27/2020 02:30:00 PM,Morningside Park,playground on 116th,Raccoon,Employee,Native,Healthy,3,Juvenile,Small Mammals-RVS,311-03356309,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/22/2020 01:00:00 PM,07/22/2020 01:00:00 PM,Central Park,106th Street and 5th Ave Conservatory Garden,Red-eared Slider,"Conservancies/""Friends of"" Groups",Invasive,Healthy,0.3,Adult,Terrestrial Reptile or Amphibian,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/22/2020 03:35:00 PM,07/22/2020 03:45:00 PM,Hudson Park,"Pier 97, under the underpass",Canada Goose,Central,Native,N/A,0.75,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/22/2020 01:30:00 PM,07/22/2020 01:30:00 PM,Central Park,59th Street Pond,Domestic Duck,Public,Domestic,Healthy,8,Adult,Birds,311-03295684,Rehabilitator,3,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
07/21/2020 10:00:00 AM,07/21/2020 11:00:00 AM,Highbridge Recreation Center,"Raccoons were hiding behind a foldable table, by the Highbridge Pool",Raccoon,Employee,Native,Healthy,0.5,Adult;#Juvenile,Small Mammals-RVS,311-03284626,Relocated/Condition Corrected,2,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/20/2020 01:30:00 PM,07/20/2020 02:30:00 PM,Union Square Park,In the playground area,Striped Skunk,Employee,Native,N/A,1,Adult,Small Mammals-RVS,NA,Monitored Animal,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/20/2020 11:50:00 AM,07/20/2020 12:00:00 PM,Riverside Park,Outside the Hippo Playground,Raccoon,Employee,Native,Healthy,1,Juvenile,Small Mammals-RVS,311-03269817,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
