Date and Time of initial call,Date and time of Ranger response,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
10/18/2018 01:54:00 PM,10/18/2018 03:47:00 PM,Lincoln Terrace Park,Lincoln Terrace Park. Along the fence,Cat,Central,Domestic,N/A,0.5,Adult,Domestic,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
10/18/2018 12:45:00 PM,10/18/2018 01:15:00 PM,Prospect Park,"By Center Drive and East Drive 40.663591, -73.965373",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-1629461862,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,44868
10/18/2018 08:30:00 AM,10/18/2018 09:00:00 AM,Prospect Park,"North Lullwater near Neathermeade  40.660521, -73.967395",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1629461860,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,44837
10/17/2018 02:00:00 PM,10/17/2018 02:30:00 PM,Prospect Park,Litchfield Villa parking lot,Raccoon,Employee,Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1631115392,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,44793
10/16/2018 02:30:00 PM,10/16/2018 03:00:00 PM,Brooklyn Bridge Park,99 Plymouth Street,Yellow-bellied Sapsucker,Employee,Native,Healthy,1,Adult,Birds,n/a,Relocated/Condition Corrected,1,FALSE,TRUE,NA,0.5,FALSE,FALSE,NA
10/05/2018 12:00:00 AM,10/16/2018 10:00:00 AM,Prospect Park,Grand Army Plaza,Raccoon,Public,Native,N/A,0.5,Adult,Small Mammals-RVS,n/a,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
10/15/2018 01:15:00 PM,10/15/2018 01:15:00 PM,Prospect Park,Lookout Hill and Center Drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1629621080,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,44573
10/14/2018 12:30:00 PM,10/14/2018 01:30:00 PM,Prospect Park,Near Empire Blvd,Raccoon,Other,Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1626701730,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,44484
10/15/2018 09:00:00 AM,10/15/2018 09:15:00 AM,Prospect Park,Lincoln Road Entrance,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1630819783,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,44535
10/15/2018 07:58:00 AM,10/15/2018 09:15:00 AM,Prospect Park,Parade Grounds,Raccoon,Central,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-626701740,ACC,1,FALSE,FALSE,NA,NA,TRUE,FALSE,44534
10/15/2018 08:00:00 AM,10/15/2018 09:15:00 AM,Prospect Park,BBQ Area near 9th Street,Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,2,Adult,Small Mammals-RVS,1-1-1629059280,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,44539
10/14/2018 05:45:00 PM,10/14/2018 05:50:00 PM,Prospect Park,Zucker Natural Exploration Area across from East Drive,Raccoon,Other,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1626614841,ACC,1,FALSE,TRUE,NA,1,FALSE,FALSE,44518
10/13/2018 04:00:00 PM,10/13/2018 04:15:00 PM,Prospect Park,West Drive near 9th Street entrance,Raccoon,"Conservancies/""Friends of"" Groups",Native,Injured,0.5,Juvenile,Small Mammals-RVS,NA,Monitored Animal,1,FALSE,TRUE,NA,NA,TRUE,FALSE,NA
10/11/2018 11:00:00 PM,10/11/2018 12:00:00 PM,Prospect Park,Center Drive and West Drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,NA,Monitored Animal,1,FALSE,TRUE,NA,1,FALSE,FALSE,NA
10/12/2018 05:30:00 PM,10/12/2018 05:30:00 PM,Prospect Park,Center Drive and East Drive junction,Raccoon,Public,Native,N/A,0.5,Adult,Small Mammals-RVS,n/a,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
10/12/2018 04:50:00 PM,10/12/2018 04:50:00 PM,Prospect Park,Nethermead Ravine Path by Center Drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,NA,Advised/Educated others,1,FALSE,TRUE,NA,1,FALSE,FALSE,NA
10/12/2018 10:00:00 AM,10/12/2018 11:02:00 AM,Prospect Park,Long meadow,Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1629613050,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,44087
10/11/2018 01:50:00 PM,10/11/2018 03:30:00 PM,Prospect Park,Behind Prospect Park Zoo on center drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Injured,1.5,Adult,Small Mammals-RVS,1-1-1626701421,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,44197
10/10/2018 08:20:00 AM,10/10/2018 11:20:00 AM,Prospect Park,Picnic House,Raccoon,Employee,Native,DOA,1.5,Adult,Small Mammals-RVS,NA,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,44087
