Date and Time of initial call,Date and time of Ranger response,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
04/13/2021 09:15:00 AM,04/13/2021 11:00:00 AM,Great Kills Park,Cedar Grove Beach,Duck (Unknown),Employee,Native,Injured,1,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
04/12/2021 09:00:00 AM,04/12/2021 11:00:00 AM,Seguine Mansion- Historical Building,Mansion House,Bird (Unknown),Employee,Native,Healthy,3,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
04/10/2021 04:37:00 PM,04/11/2021 12:45:00 PM,LaTourette Park & Golf Course,Multi-purpose trail off Old Mill Rd,Little Brown Bat,Employee,Native,DOA,1,Adult,Small Mammals-RVS,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
04/09/2021 02:50:00 PM,04/09/2021 02:50:00 PM,Willowbrook Park,Near park entrance,American Robin,Public,Native,Injured,0.5,Adult,Birds,NA,Monitored Animal,1,FALSE,TRUE,NA,0.5,FALSE,FALSE,NA
04/08/2021 03:30:00 PM,04/08/2021 03:20:00 PM,Clove Lakes Park,Bard Ave and Clove Rd,Common Snapping Turtle,Public,Native,Healthy,1,Adult,Terrestrial Reptile or Amphibian,NA,Monitored Animal,1,FALSE,TRUE,NA,0.25,FALSE,FALSE,NA
04/08/2021 02:00:00 PM,04/08/2021 02:00:00 PM,Brookfield Park,East mound,Garter Snake,Observed by Ranger,Native,Healthy,0.25,Adult,Terrestrial Reptile or Amphibian,NA,Relocated/Condition Corrected,1,FALSE,TRUE,NA,0.15,FALSE,FALSE,NA
04/06/2021 08:25:00 AM,04/06/2021 08:25:00 AM,Blue Heron Park,Blue Heron Nature Center,White-throated Sparrow,Employee,Native,DOA,0.25,Adult,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
03/31/2021 09:50:00 AM,03/31/2021 10:00:00 AM,Bradys Pond Park,Along fence on Hylan Blvd,Wild Turkey,Central,Native,Healthy,0.5,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
03/25/2021 11:15:00 AM,03/25/2021 11:35:00 AM,Silver Lake Park,Next to Lake on Forest Avenue side,Muskrat,Public,Native,Healthy,1,Adult,Small Mammals-non RVS,311-05782941,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
03/12/2021 10:00:00 AM,03/12/2021 10:00:00 AM,Blue Heron Park,Spring Pond,Frog (Unknown),Observed by Ranger,Native,Healthy,0.5,Infant,Terrestrial Reptile or Amphibian,NA,Relocated/Condition Corrected,30,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
03/11/2021 09:30:00 AM,03/11/2021 10:00:00 AM,Clove Lakes Park,In woods behind Ice Skating Rink,White-tailed Deer,Public,Native,DOA,6,Adult,Deer,311-05651263,Relocated/Condition Corrected,1,TRUE,FALSE,NA,NA,TRUE,FALSE,NA
03/09/2021 09:10:00 AM,03/09/2021 09:16:00 AM,Greenbelt White trail,Ashworth Ave. and Lovell Ave.,White-tailed Deer,Central,Native,Injured,0.75,Adult,Deer,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
03/09/2021 09:00:00 AM,03/09/2021 09:05:00 AM,Blue Heron Park,Blue Heron Nature Center,White-throated Sparrow,Observed by Ranger,Native,DOA,0.1,Adult,Birds,NA,Relocated/Condition Corrected,2,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
03/07/2021 09:00:00 AM,03/07/2021 12:40:00 PM,Joseph Manna Park,In shrubs,White-tailed deer,Employee,Native,DOA,1,Juvenile,Deer,NA,Advised/Educated others,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
03/06/2021 03:00:00 PM,03/06/2021 03:10:00 PM,Wolfe's Pond Park,Holton Ave/Purdy Pl near pond,Rough-legged Hawk,Public,Native,Injured,1.5,Adult,Raptors,311-05603772,Rehabilitator,1,FALSE,FALSE,Bobby Horvath,NA,FALSE,FALSE,NA
03/03/2021 11:30:00 AM,03/03/2021 11:30:00 AM,Willowbrook Park,Near comfort station,Duck (Unknown),Employee,Native,Injured,1,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
03/03/2021 09:00:00 AM,03/03/2021 09:30:00 AM,William T. Davis Wildlife Refuge,Behind the Parks house at 2226 Richmond Ave,White-tailed Deer,Employee,Native,Injured,2,Adult,Deer,311-05568484,Advised/Educated others,1,FALSE,TRUE,NA,2,FALSE,TRUE,NA
02/28/2021 09:10:00 AM,02/28/2021 10:40:00 AM,Midland Beach,Soccer Field,Domestic Goose,Employee,Domestic,Healthy,0.75,Adult,Domestic;#Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
02/14/2021 09:45:00 AM,02/14/2021 02:45:00 PM,Blue Heron Park,Blue Heron Nature Center,White-throated Sparrow,Employee,Native,DOA,0.25,Adult,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
02/05/2021 02:40:00 PM,02/05/2021 02:55:00 PM,Ocean Breeze Track & Field Athletic Complex,Father Capodanno Boulevard,Groundhog,Employee,Native,Healthy,1,Juvenile,Small Mammals-non RVS,311-05345958,Relocated/Condition Corrected,1,FALSE,TRUE,NA,0.25,FALSE,FALSE,NA
01/31/2021 02:50:00 PM,01/31/2021 02:50:00 PM,Blue Heron Park,Blue Heron Nature Center,White-throated Sparrow,Employee,Native,DOA,0.25,Adult,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
01/26/2021 11:30:00 AM,01/26/2021 11:30:00 AM,Blue Heron Park,Blue Heron Nature Center,White-throated Sparrow,Employee,Native,DOA,0.25,Adult,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
01/29/2021 04:15:00 PM,01/29/2021 04:15:00 PM,Franklin D. Roosevelt Boardwalk and Beach,On promenade near Lot 8,Dog,Employee,Domestic,Healthy,0.5,Adult,Domestic,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
